trial,s1,s2,s3,i1,i2,i3
24,5,15,30,imgs/s_5_r_5.png,imgs/s_15_r_5.png,imgs/s_30_r_5.png
25,5,20,25,imgs/s_5_r_5.png,imgs/s_20_r_5.png,imgs/s_25_r_5.png
26,50,20,10,imgs/s_50_r_5.png,imgs/s_20_r_5.png,imgs/s_10_r_5.png
27,5,30,40,imgs/s_5_r_5.png,imgs/s_30_r_5.png,imgs/s_40_r_5.png
28,5,10,25,imgs/s_5_r_5.png,imgs/s_10_r_5.png,imgs/s_25_r_5.png
29,40,30,25,imgs/s_40_r_5.png,imgs/s_30_r_5.png,imgs/s_25_r_5.png
30,60,40,5,imgs/s_60_r_5.png,imgs/s_40_r_5.png,imgs/s_5_r_5.png
31,10,30,40,imgs/s_10_r_5.png,imgs/s_30_r_5.png,imgs/s_40_r_5.png
32,60,40,25,imgs/s_60_r_5.png,imgs/s_40_r_5.png,imgs/s_25_r_5.png
33,15,40,60,imgs/s_15_r_5.png,imgs/s_40_r_5.png,imgs/s_60_r_5.png
34,60,10,5,imgs/s_60_r_5.png,imgs/s_10_r_5.png,imgs/s_5_r_5.png
35,60,40,20,imgs/s_60_r_5.png,imgs/s_40_r_5.png,imgs/s_20_r_5.png
36,60,40,10,imgs/s_60_r_5.png,imgs/s_40_r_5.png,imgs/s_10_r_5.png
37,20,15,10,imgs/s_20_r_5.png,imgs/s_15_r_5.png,imgs/s_10_r_5.png
38,5,50,60,imgs/s_5_r_5.png,imgs/s_50_r_5.png,imgs/s_60_r_5.png
39,25,15,10,imgs/s_25_r_5.png,imgs/s_15_r_5.png,imgs/s_10_r_5.png
40,10,20,25,imgs/s_10_r_5.png,imgs/s_20_r_5.png,imgs/s_25_r_5.png
41,10,15,30,imgs/s_10_r_5.png,imgs/s_15_r_5.png,imgs/s_30_r_5.png
42,5,20,60,imgs/s_5_r_5.png,imgs/s_20_r_5.png,imgs/s_60_r_5.png
43,5,25,30,imgs/s_5_r_5.png,imgs/s_25_r_5.png,imgs/s_30_r_5.png
44,50,40,10,imgs/s_50_r_5.png,imgs/s_40_r_5.png,imgs/s_10_r_5.png
45,5,20,50,imgs/s_5_r_5.png,imgs/s_20_r_5.png,imgs/s_50_r_5.png
46,10,25,60,imgs/s_10_r_5.png,imgs/s_25_r_5.png,imgs/s_60_r_5.png
47,10,20,60,imgs/s_10_r_5.png,imgs/s_20_r_5.png,imgs/s_60_r_5.png
48,15,10,5,imgs/s_15_r_5.png,imgs/s_10_r_5.png,imgs/s_5_r_5.png
49,10,50,60,imgs/s_10_r_5.png,imgs/s_50_r_5.png,imgs/s_60_r_5.png
50,20,25,50,imgs/s_20_r_5.png,imgs/s_25_r_5.png,imgs/s_50_r_5.png
51,50,30,15,imgs/s_50_r_5.png,imgs/s_30_r_5.png,imgs/s_15_r_5.png
52,30,20,15,imgs/s_30_r_5.png,imgs/s_20_r_5.png,imgs/s_15_r_5.png
53,30,25,20,imgs/s_30_r_5.png,imgs/s_25_r_5.png,imgs/s_20_r_5.png
54,15,20,25,imgs/s_15_r_5.png,imgs/s_20_r_5.png,imgs/s_25_r_5.png
55,40,25,20,imgs/s_40_r_5.png,imgs/s_25_r_5.png,imgs/s_20_r_5.png
56,20,50,60,imgs/s_20_r_5.png,imgs/s_50_r_5.png,imgs/s_60_r_5.png
57,10,25,30,imgs/s_10_r_5.png,imgs/s_25_r_5.png,imgs/s_30_r_5.png
58,5,25,40,imgs/s_5_r_5.png,imgs/s_25_r_5.png,imgs/s_40_r_5.png
59,60,50,40,imgs/s_60_r_5.png,imgs/s_50_r_5.png,imgs/s_40_r_5.png
60,40,25,15,imgs/s_40_r_5.png,imgs/s_25_r_5.png,imgs/s_15_r_5.png
61,10,15,60,imgs/s_10_r_5.png,imgs/s_15_r_5.png,imgs/s_60_r_5.png
62,60,25,20,imgs/s_60_r_5.png,imgs/s_25_r_5.png,imgs/s_20_r_5.png
63,50,25,10,imgs/s_50_r_5.png,imgs/s_25_r_5.png,imgs/s_10_r_5.png
64,25,30,50,imgs/s_25_r_5.png,imgs/s_30_r_5.png,imgs/s_50_r_5.png
65,5,15,50,imgs/s_5_r_5.png,imgs/s_15_r_5.png,imgs/s_50_r_5.png
66,60,30,25,imgs/s_60_r_5.png,imgs/s_30_r_5.png,imgs/s_25_r_5.png
67,50,40,30,imgs/s_50_r_5.png,imgs/s_40_r_5.png,imgs/s_30_r_5.png
68,20,10,5,imgs/s_20_r_5.png,imgs/s_10_r_5.png,imgs/s_5_r_5.png
69,5,15,25,imgs/s_5_r_5.png,imgs/s_15_r_5.png,imgs/s_25_r_5.png
70,60,30,5,imgs/s_60_r_5.png,imgs/s_30_r_5.png,imgs/s_5_r_5.png
71,5,15,40,imgs/s_5_r_5.png,imgs/s_15_r_5.png,imgs/s_40_r_5.png
72,50,40,5,imgs/s_50_r_5.png,imgs/s_40_r_5.png,imgs/s_5_r_5.png
73,50,25,15,imgs/s_50_r_5.png,imgs/s_25_r_5.png,imgs/s_15_r_5.png
74,20,40,50,imgs/s_20_r_5.png,imgs/s_40_r_5.png,imgs/s_50_r_5.png
75,40,15,10,imgs/s_40_r_5.png,imgs/s_15_r_5.png,imgs/s_10_r_5.png
76,40,20,10,imgs/s_40_r_5.png,imgs/s_20_r_5.png,imgs/s_10_r_5.png
77,10,30,50,imgs/s_10_r_5.png,imgs/s_30_r_5.png,imgs/s_50_r_5.png
78,60,15,5,imgs/s_60_r_5.png,imgs/s_15_r_5.png,imgs/s_5_r_5.png
79,40,10,5,imgs/s_40_r_5.png,imgs/s_10_r_5.png,imgs/s_5_r_5.png
80,30,20,10,imgs/s_30_r_5.png,imgs/s_20_r_5.png,imgs/s_10_r_5.png
81,5,15,20,imgs/s_5_r_5.png,imgs/s_15_r_5.png,imgs/s_20_r_5.png
82,15,30,40,imgs/s_15_r_5.png,imgs/s_30_r_5.png,imgs/s_40_r_5.png
83,15,20,50,imgs/s_15_r_5.png,imgs/s_20_r_5.png,imgs/s_50_r_5.png
