trial,s1,s2,s3,i1,i2,i3
19,60,20,10,imgs/s_60_r_4.png,imgs/s_20_r_4.png,imgs/s_10_r_4.png
20,5,30,40,imgs/s_5_r_4.png,imgs/s_30_r_4.png,imgs/s_40_r_4.png
21,15,40,60,imgs/s_15_r_4.png,imgs/s_40_r_4.png,imgs/s_60_r_4.png
22,30,20,5,imgs/s_30_r_4.png,imgs/s_20_r_4.png,imgs/s_5_r_4.png
23,5,10,40,imgs/s_5_r_4.png,imgs/s_10_r_4.png,imgs/s_40_r_4.png
24,10,15,40,imgs/s_10_r_4.png,imgs/s_15_r_4.png,imgs/s_40_r_4.png
25,50,20,5,imgs/s_50_r_4.png,imgs/s_20_r_4.png,imgs/s_5_r_4.png
26,50,25,10,imgs/s_50_r_4.png,imgs/s_25_r_4.png,imgs/s_10_r_4.png
27,60,40,30,imgs/s_60_r_4.png,imgs/s_40_r_4.png,imgs/s_30_r_4.png
28,50,40,25,imgs/s_50_r_4.png,imgs/s_40_r_4.png,imgs/s_25_r_4.png
29,20,25,50,imgs/s_20_r_4.png,imgs/s_25_r_4.png,imgs/s_50_r_4.png
30,25,20,10,imgs/s_25_r_4.png,imgs/s_20_r_4.png,imgs/s_10_r_4.png
31,50,20,15,imgs/s_50_r_4.png,imgs/s_20_r_4.png,imgs/s_15_r_4.png
32,40,30,20,imgs/s_40_r_4.png,imgs/s_30_r_4.png,imgs/s_20_r_4.png
33,5,20,40,imgs/s_5_r_4.png,imgs/s_20_r_4.png,imgs/s_40_r_4.png
34,10,30,60,imgs/s_10_r_4.png,imgs/s_30_r_4.png,imgs/s_60_r_4.png
35,50,40,10,imgs/s_50_r_4.png,imgs/s_40_r_4.png,imgs/s_10_r_4.png
36,5,10,50,imgs/s_5_r_4.png,imgs/s_10_r_4.png,imgs/s_50_r_4.png
37,15,10,5,imgs/s_15_r_4.png,imgs/s_10_r_4.png,imgs/s_5_r_4.png
38,20,10,5,imgs/s_20_r_4.png,imgs/s_10_r_4.png,imgs/s_5_r_4.png
39,25,50,60,imgs/s_25_r_4.png,imgs/s_50_r_4.png,imgs/s_60_r_4.png
40,5,10,60,imgs/s_5_r_4.png,imgs/s_10_r_4.png,imgs/s_60_r_4.png
41,5,25,50,imgs/s_5_r_4.png,imgs/s_25_r_4.png,imgs/s_50_r_4.png
42,50,40,15,imgs/s_50_r_4.png,imgs/s_40_r_4.png,imgs/s_15_r_4.png
43,40,25,10,imgs/s_40_r_4.png,imgs/s_25_r_4.png,imgs/s_10_r_4.png
44,40,25,20,imgs/s_40_r_4.png,imgs/s_25_r_4.png,imgs/s_20_r_4.png
45,5,10,25,imgs/s_5_r_4.png,imgs/s_10_r_4.png,imgs/s_25_r_4.png
46,25,15,5,imgs/s_25_r_4.png,imgs/s_15_r_4.png,imgs/s_5_r_4.png
47,40,15,5,imgs/s_40_r_4.png,imgs/s_15_r_4.png,imgs/s_5_r_4.png
48,20,30,60,imgs/s_20_r_4.png,imgs/s_30_r_4.png,imgs/s_60_r_4.png
49,50,30,10,imgs/s_50_r_4.png,imgs/s_30_r_4.png,imgs/s_10_r_4.png
50,10,20,50,imgs/s_10_r_4.png,imgs/s_20_r_4.png,imgs/s_50_r_4.png
51,60,25,10,imgs/s_60_r_4.png,imgs/s_25_r_4.png,imgs/s_10_r_4.png
52,5,40,50,imgs/s_5_r_4.png,imgs/s_40_r_4.png,imgs/s_50_r_4.png
53,10,20,30,imgs/s_10_r_4.png,imgs/s_20_r_4.png,imgs/s_30_r_4.png
54,40,25,5,imgs/s_40_r_4.png,imgs/s_25_r_4.png,imgs/s_5_r_4.png
55,10,15,50,imgs/s_10_r_4.png,imgs/s_15_r_4.png,imgs/s_50_r_4.png
56,30,25,15,imgs/s_30_r_4.png,imgs/s_25_r_4.png,imgs/s_15_r_4.png
57,30,25,10,imgs/s_30_r_4.png,imgs/s_25_r_4.png,imgs/s_10_r_4.png
58,50,15,5,imgs/s_50_r_4.png,imgs/s_15_r_4.png,imgs/s_5_r_4.png
59,50,40,20,imgs/s_50_r_4.png,imgs/s_40_r_4.png,imgs/s_20_r_4.png
60,20,25,30,imgs/s_20_r_4.png,imgs/s_25_r_4.png,imgs/s_30_r_4.png
61,50,30,5,imgs/s_50_r_4.png,imgs/s_30_r_4.png,imgs/s_5_r_4.png
62,40,30,15,imgs/s_40_r_4.png,imgs/s_30_r_4.png,imgs/s_15_r_4.png
63,60,30,5,imgs/s_60_r_4.png,imgs/s_30_r_4.png,imgs/s_5_r_4.png
64,15,50,60,imgs/s_15_r_4.png,imgs/s_50_r_4.png,imgs/s_60_r_4.png
65,15,20,30,imgs/s_15_r_4.png,imgs/s_20_r_4.png,imgs/s_30_r_4.png
66,40,30,25,imgs/s_40_r_4.png,imgs/s_30_r_4.png,imgs/s_25_r_4.png
67,15,25,50,imgs/s_15_r_4.png,imgs/s_25_r_4.png,imgs/s_50_r_4.png
68,25,40,60,imgs/s_25_r_4.png,imgs/s_40_r_4.png,imgs/s_60_r_4.png
69,60,20,5,imgs/s_60_r_4.png,imgs/s_20_r_4.png,imgs/s_5_r_4.png
70,25,20,5,imgs/s_25_r_4.png,imgs/s_20_r_4.png,imgs/s_5_r_4.png
71,40,50,60,imgs/s_40_r_4.png,imgs/s_50_r_4.png,imgs/s_60_r_4.png
72,20,50,60,imgs/s_20_r_4.png,imgs/s_50_r_4.png,imgs/s_60_r_4.png
73,5,15,20,imgs/s_5_r_4.png,imgs/s_15_r_4.png,imgs/s_20_r_4.png
74,40,20,10,imgs/s_40_r_4.png,imgs/s_20_r_4.png,imgs/s_10_r_4.png
75,25,30,50,imgs/s_25_r_4.png,imgs/s_30_r_4.png,imgs/s_50_r_4.png
76,60,50,10,imgs/s_60_r_4.png,imgs/s_50_r_4.png,imgs/s_10_r_4.png
77,25,30,60,imgs/s_25_r_4.png,imgs/s_30_r_4.png,imgs/s_60_r_4.png
78,10,15,60,imgs/s_10_r_4.png,imgs/s_15_r_4.png,imgs/s_60_r_4.png
79,20,40,60,imgs/s_20_r_4.png,imgs/s_40_r_4.png,imgs/s_60_r_4.png
80,10,15,30,imgs/s_10_r_4.png,imgs/s_15_r_4.png,imgs/s_30_r_4.png
81,15,20,40,imgs/s_15_r_4.png,imgs/s_20_r_4.png,imgs/s_40_r_4.png
82,5,25,60,imgs/s_5_r_4.png,imgs/s_25_r_4.png,imgs/s_60_r_4.png
83,15,20,25,imgs/s_15_r_4.png,imgs/s_20_r_4.png,imgs/s_25_r_4.png
